kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
1 140,1,619,5430,618,1,1140,5430,615,1,829,2,3,0,56,6,0,27,8,943,4,10,97,2,13,16,1,15,569,1
257,1,160,6226,160,1,257,6226,160,1,375,0,3,0,26,6,0,7,8,2000,1,10,62,2,13,0,0,15,625,0
257,1,160,6226,160,1,257,6226,160,1,375,0,3,0,26,6,0,7,8,2000,1,10,62,2,13,0,0,15,625,0
207,1,95,4589,95,1,207,4589,94,1,319,0,3,0,6,6,0,1,8,1808,0,10,106,2,13,0,0,15,106,0
207,1,95,4589,95,1,207,4589,94,1,319,0,3,0,6,6,0,1,8,1808,0,10,106,2,13,0,0,15,106,0
370,1,267,7216,267,1,370,7216,266,1,1127,0,3,0,20,6,37,10,8,676,0,10,37,3,13,37,0,15,789,0
370,1,267,7216,267,1,370,7216,266,1,1127,0,3,0,20,6,37,10,8,676,0,10,37,3,13,37,0,15,789,0
152,1,102,6711,101,1,152,6711,99,1,909,0,3,0,4,6,0,2,8,808,0,10,0,1,13,0,0,15,303,0
152,1,102,6711,101,1,152,6711,99,1,909,0,3,0,4,6,0,2,8,808,0,10,0,1,13,0,0,15,303,0
1 375,2,844,6138,844,2,1375,6138,839,1,858,0,3,0,75,6,0,17,8,667,15,10,107,9,13,59,0,15,762,1
289,1,173,5986,173,1,289,5986,171,1,526,0,3,58,10,6,0,4,8,1637,0,10,292,2,13,0,1,15,701,0
289,1,173,5986,173,1,289,5986,171,1,526,0,3,58,10,6,0,4,8,1637,0,10,292,2,13,0,1,15,701,0
1 029,1,650,6317,650,1,1029,6317,647,1,1251,2,3,0,66,6,0,9,8,1143,3,10,61,2,13,0,4,15,911,2
1 029,1,650,6317,650,1,1029,6317,647,1,1251,2,3,0,66,6,0,9,8,1143,3,10,61,2,13,0,4,15,911,2
229,1,144,6288,144,1,229,6288,143,1,209,0,3,0,8,6,0,3,8,1188,0,10,0,0,13,0,0,15,1398,0
229,1,144,6288,144,1,229,6288,143,1,209,0,3,0,8,6,0,3,8,1188,0,10,0,0,13,0,0,15,1398,0
232,1,135,5819,135,1,232,5819,134,1,298,0,3,0,12,6,0,11,8,1567,0,10,74,1,13,0,0,15,447,0
232,1,135,5819,135,1,232,5819,134,1,298,0,3,0,12,6,0,11,8,1567,0,10,74,1,13,0,0,15,447,0
594,1,352,5926,352,1,594,5926,349,1,515,2,3,57,22,6,28,12,8,1060,2,10,57,3,13,0,0,15,429,0
594,1,352,5926,352,1,594,5926,349,1,515,2,3,57,22,6,28,12,8,1060,2,10,57,3,13,0,0,15,429,0
565,1,382,6761,382,1,565,6761,381,1,498,0,3,0,13,6,26,23,8,629,1,10,78,5,13,0,1,15,524,0
565,1,382,6761,382,1,565,6761,381,1,498,0,3,0,13,6,26,23,8,629,1,10,78,5,13,0,1,15,524,0
1 934,5,1180,6101,1180,5,1934,6101,1175,1,1021,0,3,17,100,6,0,24,8,868,16,10,25,11,13,17,4,15,1004,2
124,1,78,6290,78,1,124,6290,78,1,256,0,3,0,12,6,0,3,8,1410,0,10,128,6,13,0,0,15,384,0
124,1,78,6290,78,1,124,6290,78,1,256,0,3,0,12,6,0,3,8,1410,0,10,128,6,13,0,0,15,384,0
35 975,44,21073,5858,21058,44,35975,5858,20934,1,1027,17,3,15,1925,6,7,459,8,811,350,10,57,270,13,12,25,15,927,6
242,1,138,5702,138,1,242,5702,137,1,948,0,3,0,12,6,0,5,8,1459,6,10,145,1,13,0,0,15,875,0
242,1,138,5702,138,1,242,5702,137,1,948,0,3,0,12,6,0,5,8,1459,6,10,145,1,13,0,0,15,875,0
805,1,549,6820,548,1,805,6820,547,1,822,0,3,0,59,6,18,15,8,950,2,10,73,5,13,18,0,15,566,0
805,1,549,6820,548,1,805,6820,547,1,822,0,3,0,59,6,18,15,8,950,2,10,73,5,13,18,0,15,566,0
1 029,2,621,6035,621,2,1029,6035,617,1,583,0,3,16,54,6,32,9,8,1199,9,10,97,6,13,0,0,15,388,0
880,2,524,5955,524,2,880,5955,520,1,500,0,3,0,51,6,0,17,8,942,6,10,76,2,13,0,0,15,730,3
163,1,104,6380,104,1,163,6380,101,1,495,0,3,0,0,6,0,5,8,1584,1,10,0,0,13,0,0,15,990,0
163,1,104,6380,104,1,163,6380,101,1,495,0,3,0,0,6,0,5,8,1584,1,10,0,0,13,0,0,15,990,0
80,1,61,7625,61,1,80,7625,61,1,163,0,3,0,11,6,0,0,8,1311,0,10,163,0,13,0,0,15,655,0
80,1,61,7625,61,1,80,7625,61,1,163,0,3,0,11,6,0,0,8,1311,0,10,163,0,13,0,0,15,655,0
